,youtube_id,comment,like_num,comment_date
0,userwe3fu2ik1n,언니 화장 너무 잘해용,0.0,6일 전
1,hhvs4fq,언니 영상볼 때마다 옷 정보 궁금했는데 더보기란에 적어주셔서 감사해욤 ,1.0,5일 전
2,leeves9637,당장 올리브영 가야해~~ 저도 금발이라 이번 메이크업 너무 좋아요>_<,4.0,13일 전
3,userlo9bx5no4y,진짜 제 모델이자 워너비 ㅠㅠ 사랑해요 언니 항상 언니같은 삶을 꿈만 꾸며 사네요 용기내서 처음 댓글 달아봐요 삶에 치이고 사람에 치이고 너무 많이 힘든 와중에도 언니 영상만 보면 너무 힐링 그 잡채에요 늘  응원합니당 전 오늘도 언니 영상 정주행하면서 잠에 들어볼께용ㅎㅎ,0.0,1일 전
4,userqy8ut1ov7c,탈색 넘 고생인것 같아요ㅠㅠ 하지만 너무너무 잘어울리는 샌..,0.0,6일 전
5,nayeonjessicakang695,블론드도 잘어울리는 우리 새은언니~~ 항상 건강하고 평안하세요,3.0,12일 전
6,userui5px9qk7e,메이크업 관리 영상 개조하ㅜㅜㅜ️️️ 생얼도 존예인 울언닝 🥹,1.0,13일 전
7,userqe6sp8ud4t,새은님 메이크업이 너무 예뻐요,3.0,13일 전
8,sophiaisabelle000,You look stunning. We wish you all the best.,1.0,13일 전
9,userur5ht5gl2q,"드뎌 제가 원하던 언니의 메콥영상  전에 바닐라코쿠션 추천해주셔서 믿고 구매했어용 ! 쉐딩 진짜 좋아보여요
바르자마자 윤곽 빡 살아나는거 실환가..? 근데 이미 생얼부터 완성된 얼굴인데 어쩌지? 아니 근데... 생강이여서가 아니라 진짜 진심으로 너무 이뻐요 ㅠㅠ  언니 고데기 하실때 입으신 상의정보 알수있을까요??",1.0,13일 전
10,useruv1ip2hb1n,포차코 삔 완전 귀엽당️울 언니 금발하니까 더 바비같애 역쉬 갓닐라코 ,0.0,12일 전
11,jeolmi7210,"아니,, 원래 짱옌데 오늘영상 미모ㄹㅈㄷ임니더,,,,웜쿨 다 소화해버리는 샌엉니 ,,, ,,,,,,,,,,,,,,,,,,,,,",3.0,13일 전
12,usercn5ek9uj9q,진짜 스모키 오져요,1.0,10일 전
13,userxq7ke4kw3f,제 워너비예요🫶 진짜 해보고싶은 꿀팁들이 가득한 영상 잘봤슴당,0.0,12일 전
14,userps3lj8gx6y,"안녕하새은~~~~
새은님 간사이 공항에서 본거 같은데. 
아는 척을 할 수가 없었어여. 
불편해 할 수도 있겠다 싶어 참았네요
긴가민가 했는데. 
아무리 생각해봐도 맞는거 같습니다.
영상보다 실물이 더 아름다우십니다.",0.0,7일 전(수정됨)
15,useryf2zi1vu4b,멋있어여,0.0,13일 전
16,userzt8qr3vp4u,"실제로 봐도 이르케 생기셔서 정말 놀라워요 여러부운,,,,,,믿기지 않는 얼굴 ㅜㅜ",6.0,13일 전
17,dxsunny8764,새은님은 검정머리가 레전드^^,0.0,13일 전
18,ball9carrot933,20:34 ふわふわで綺麗な髪,1.0,12일 전
19,userhp6fp7cf5s,뭐아....???쌩얼도 이쁘자나!!!,0.0,11일 전
20,lj2132,전 금발은 아니지만 대리만족하면서 봤어요 언니 ㅎㅎ 바비인형 같은 샌언니 ..,1.0,12일 전
21,userqj9lk8qm4v,데님 부츠 정보 알고시퍼요ㅠ,0.0,13일 전
22,Rangmangdoong,생일이 일단 넘 이뻐서..,0.0,8일 전
23,userij9kl1wg8j,화장 진짜 ㅈㄴ잘한다..,0.0,13일 전
24,kimtaedy,이번 영상 미모 무슨일이에요... 너무 이쁘신거 아닌가욥?🫢,0.0,13일 전
25,JUqj9el,렌즈정보부탁해요ㅜㅜ️,0.0,4일 전
26,ShinDavid,맨얼굴도이쁜귀요미씨,0.0,10일 전
27,xxxkim, 아이 이뻐라아~~~~~~~~~~ ,0.0,13일 전
28,lesliexx2482,"5:22
여기 나오는 팔레트 어디껀지 아시는 분 ㅠㅠ",0.0,12일 전
29,userwb9sl7sh1c,언니 화장할때 니트 뭐예용?,0.0,10일 전
30,userbw5xf8pi1o,자켓사이즈 알고 싶어요오 !!,2.0,13일 전
31,userus8vb3zi6y,언니 혹시 자켓 사이즈가 몰까요 ..? 너뮤 예뻐서 손민수 각 ..,20.0,13일 전
32,useryk5cm2nn7q,너무 이쁘시네요 해리포터 젤리 먹방 리뷰 한번 해주세요,1.0,10일 전
33,userok4cz3vo7v,웅니. 저 심장이 멈춰버렸어요.,0.0,13일 전
34,userzx4jz3vx4c,타이즈를 추천드려요,0.0,3일 전
35,agarangtv705,치마 너무 예뻐욤 정보 알수있을까욤?,2.0,13일 전
36,NaNagn4cf,조오오온Na 예쁘새은,1.0,13일 전
37,usersz7my4yz1r,언니 말씀하시는게 주현영같아여!!!,2.0,12일 전
38,userim6tz5uv9n,꺄🩵,0.0,13일 전
39,dearchoo92,세은님 니트입으신고 오니껀가효 ㅎㅎ,1.0,13일 전
40,usernj9zg7sk3e,여전히 이쁘시긴 한데 뭔가 갈수록 인조인간 같아지심..예전이 진짜 예뻤는데,1.0,5일 전
41,userqj9lk8qm4v,징짜 인간 바비…,1.0,13일 전
42,userle1uu4mz8c,바닐라코 광고인가봐여~,1.0,12일 전
