,youtube_id,comment,like_num,comment_date
0,LuvDive12,시크하게 예쁘고 좋은건 다 알려주는 언니..,0.0,10일 전
1,kimtaedy,진짜 새은님의 존재와 소화하시는 아이템들은 하나부터 열까지 돋보적으로 다 이뻐요.. 넘사 그 잡채..,7.0,1개월 전
2,thaipilled,this haul is so cute! Please do more 🥹,3.0,1개월 전
3,cchanlee,"와우 디테일들 포인트 너무 멋지시다요,,!! 소화력 대박",1.0,1개월 전
4,boyunhasa,코디가 다 멋있네요 잘보고 갑니다,0.0,4주 전
5,userho4bp9ou2x,새은님 x 발레코어룩 폼 미쳤다.. 너무 좋아요오..🩷,1.0,1개월 전
6,useruv1ip2hb1n,언뉘 입고 있는 옷도 넘 바비 같당 구찌 캡 존예고 언니랑 넘 잘 어울려요 지갑이랑 체인 하트?랑 더해 지니까 넘 귀엽 ㅠㅠ️,2.0,1개월 전
7,SONto4ip,안녕하새은 Saeeum님 여름 데일리 룩북이 너무 잘 어울리시네요.,1.0,1개월 전
8,userod3rs3jr8m,"난 누나의 ‘저런거 왜 사’ 를 누나가 실천해줘서 너무 좋음!!! 남자기도하고 저런거 살 수도 없고, 튀는거 귀여운거 이상한거 워낙 좋아해서 사실 대리만족 개 핵핵핵핵핵핵핵 느껴서 너무좋앙",1.0,1개월 전
9,hennessylee6024,진짜 이게 맞지...,0.0,3주 전
10,Comonbabe,"세상에서 젤 힙한 언니한테 발레코어까지 찰떡일줄이야,,,, 얼굴이 공주라 그런가?",18.0,1개월 전
11,userqe6sp8ud4t,새은님 코디가 너무 예뻐요,0.0,1개월 전
12,userym7lq4uh9z,울언니 러블리한룩들도 찰떡같이 소화해버리네,1.0,1개월 전
13,gangmi,이번 영상도 진짜 알찼당...,1.0,1개월 전
14,dorikeepsswimming3148,Omg I love your videos so much 🩷🩷🩷🩷🩷🩷🩷🩷🩷,0.0,1개월 전
15,lj2132,언니 샤넬 지갑 진짜 찰떡이에욤 🩷,1.0,1개월 전
16,milliondollarbaby,지갑 실물 영접 해본결과 샌히메랑 걍 찰떡,2.0,1개월 전(수정됨)
17,JiChoenn3fm,세은이영상은 톡톡튀니~또보고 싶어지니~🩷🩵,0.0,1개월 전
18,kiu4393,"本当に最高！
いつもURLつけてくれてありがとう！
日本語字幕いつか付くといいな。。
応援してます️",1.0,1개월 전
19,yuh6970,온니 입고 계신 스커트 정보 알 수 있을까요??!,3.0,1개월 전
20,userhh9ri3xy8y,"이번메이크업이랑 향수소개때 메이크업올려주세용~~~~
꼭이영!!",2.0,1개월 전
21,userdx4lm4vt3b,실버운동화브랜드 궁금해요! 토지가 너무이뻐요,1.0,1개월 전
22,65302,핑크 샤넬지갑 너무 갖고싶었는데ㅠㅠ 어디서 구하셨나요?? ㅠㅠ!!!!,2.0,4주 전
23,haanys,혹시 입고 계신 스커트는 어디껀지알수있을까요?,3.0,1개월 전
24,userwr5cb9ms4k,샌 온니 오늘도 사랑햄다 🫶,1.0,1개월 전
25,vividromi0410,퍼플샤스커트 정보 젭알용,1.0,1개월 전
26,kimtaedy,요정인줄... ️,1.0,1개월 전
27,usernk7yr4um9z,웅니!! 샤넬 핑크 지갑 어디서사셧는지궁금해욥,1.0,1개월 전
28,userqw2rj8gm1u,영상썸네일 비티니 정보 궁금해요,1.0,1개월 전
29,userfy9si7bn7m,넘이뽀요 ㅎㅎ운동화 어디껀가요?,1.0,1개월 전
30,userkc4qq2pm1f,온니 샤넬 체인줄은 어디껀가용!!! 정보에 없어요 ㅠ^ㅠ,2.0,1개월 전
31,zajn9vd,🩵,1.0,1개월 전
32,akinuakinu2087,,0.0,1개월 전
33,tramyfischer2741,I Love you Du bist so süß ,0.0,1개월 전
34,kiu4393,リボンの水着はどこのものですか..️️️️？,1.0,1개월 전
35,sosweet6130,슈프림 풋볼 저지 골드 사이즈 궁그매요,1.0,1개월 전
36,trinity6708,Try on please!!1,0.0,3주 전
37,maraew8pg,english subs?,0.0,1개월 전
