,youtube_id,comment,like_num,comment_date
0,zajn9vd,"편안하면서 잘 모아주는 속옷 찾기 힘든데!!
속옷도 미친 패션센스로 코디하는 샌언니 최고다 진짜,,🩷🩶",0.0,3주 전
1,userlk8wj6id3h,그레이시 퍼플 색상 진짜 넘ㅁㅁㅁ무 예쁜거같아요ㅜㅜ 원래 예쁜속옷은 불편하다는 선입견을 가지고 있었는데 예쁜데 편하기까지 하다니까 당장 구매하러 가야겠어요...,1.0,3주 전
2,saekomi3,"아웃핏 시즈널 노와이어 브라 퍼플
평생 속옷 사이즈를 잘못 입고 살다가 이번에 속옷 사이즈를 매장에 가서 재보고 알게 되었는데, 직원분이 말씀하기를 솟옥 사이즈를 잘못 입고 있는 여성분들이 정말 많다고 하더라구요
마침 편안하면서도 자연스러운 언더웨어가 어디 있을까 고민하던 중 이렇게 제 워너비 새은 언니가 타이밍 좋게 좋은 언더웨어를 소개해주셔서 얼마나 좋은지....️
속옷이 정말 중요하다고 느끼는 게, 언니가 말하는 것처럼 옷핏에서도 바로 나타난다는 부분에서 정말 중요한 것 같아요! 컵이 들뜨거나 하면 옷이 말려 들어가서 너무 보기 안 좋더라구요 
원래 언더웨어 하면 스킨 색상이나 블랙 색상을 주로 입었었는데, 언니 덕분에 파스텔 톤의 언더웨어에 반해버렸답니다! 퍼플이 이렇게 잘 어울릴 수가 있나요️ 언더웨어 소개를 언더웨어만을 이용해서 한 게 아니라 하나의 룩을 만들어서 소개해준 게 정말 언니다워서 너무 반할 수 밖에......️‍
앞으로도 이렇게 언니 매력이 뿜뿜 담겨잇는 이쁜 룩들 많이 소개해주세요",3.0,2주 전
3,skdud1593,"속옷도 패션으로 만들어버리는 새은온니,,, 언니 필라랑 콜라보하실 때마다 레전드찍으시는 것 같아요!! 그나저나 브라랑 브라탑 색상이며 제품 모두 소장하고싶을 만큼 역대급으로 다 맘에 들어서 고르기 난이도 극악이네요ㅠ 평소면 무난한 색상을 골랐겠지만 fila outfit seasonal no wire bra 톤다운된 핑크색상이 취향저격을 해버렸어요 색감, 아웃핏보정, 소재, 편안한데 처짐없이 적당하게 잘 모아주는 것까지 완벽하네요 필라 언더웨어 일냈다 ",0.0,3주 전
4,grasslp,"LOOK7
아웃핏 브라탑의 디자인은 물론이고 통기성과 터치감이 굉장히 매력적으로 보여요! 
속옷은 보이지 않는 부분이라 신경을 덜 썼었는데 이번 새은님 영상을 보니 속옷부터 제대로 입어보고 싶어요
속옷 이외에도 이너로 착용할 때 새로운 멋이 돋보이는 것 같아요
저는 특히 LIGTH MELANGE 컬러가 마음에 들어요
평소 밝은 컬러의 제품을 선호하는 편이라 좋아요
그리고 헴라인 요즘 방학때 인턴으로 슬랙스를 입게되면서 필요성을 느꼈는데 엉덩이를 감싸주면서도 라인이 안 비치는 드로즈 팬티는 부드럽고 탄력 있는 제품으로 꼭 한 번 착용해보고 싶어요오",0.0,2주 전
5,userxy9rr8ms1q,"새은님 영상 보자마자 휠라 달려가서 입어보고 너무 편하고 모양예쁘게 잘 잡아줘서 두색상이나 바로 겟챠했어용,, 홍보 영상마다 제품 설명을 너무 잘해주셔서 항상 구독 하고 영업 잘 당하고 있답니다>< 실물과 똑같아 색이 다 예뻐서 깔별로 다 소장하구 싶지만 몰드부착형런닝형브라탑도 입어보고싶어서 라이트멜란지 색상으로 이벤트 참여합니당 🩵🩵🩵",1.0,3주 전
6,juaejane,Look5! 진짜 제가 좋아하는 세련된 너낌...개인적으로 속옷의 중요성을 신경쓰지 않고 살아왔는데 샌언니 영상을 보고 확실히 느껴지네요🥹 트렌디하고 어디에나 어울려질 수 있는 블랙컬러 애정합니다 영상 감사해요🫶🫶,0.0,3주 전
7,userxp1of7yp9n,로즈핑크 색 너무 예쁘네요 ㅜㅠ 어릴 때부터 휠라 속옷 자주 착용했는데 이번 시즌은 성숙미도 같이 담아 나온 것 같아서 너무 좋아요!! 새은언니 패션 센스도 미쳐따..,0.0,3주 전
8,usergx7yi4pi7x,"Look 3, 그레이시 퍼플 코디 너무 이뻐요ㅠㅠ 저는 원래 검정 속옷만 입는데 언니 코디 보니까 다양한 컬러의 속옷도 도전해보고 싶어지네요 이번에 휠라 미쳤다..! 평소에 잘 보지 못한 그레이시한 톤의 컬러라 더 소장욕구가 뿜쁌하는 것 같아요 소재도 좋은데 가격도 합리적인 휠라와 완벽 코디 세은 언니의 조합 너무 좋네요🩶🩶",1.0,3주 전(수정됨)
9,jiyeo3on,"속옷은 필라 밖에 안입는데 역쉬 새은님두 필라를 픽해주시다니 
필라 속옷 원래도 좋은데 이번시즌은 얼마나 더 좋은원단으로 나왔을지 넘넘 기대되요 >_< 컬러는 뭐 말모 새은님 퍼플색 입으신거 넘 아름다우셔용 바로 퍼플브라 뽐뿌와짜나요 ..",0.0,3주 전
