,youtube_id,comment,like_num,comment_date
0,saumyashukla8154,"As someone who doesn't expresses herself much with words I can definitely feel the love and the mix of sadness at the end of the video. I too have to leave and move back to my place from my college leaving behind the place and people soon, so I can actually relate to Eva.  life goes on but the memories stay. ️",7.0,3개월 전
1,yurimiee,"일기장 내용 너무 멋있어요 :> 영상이며 인스타 피드며 너무 잘 지내시는 것 같았는데, 알지 못할 속사정도 있었겠죠 ㅎㅎ 미국에서 잘 마치고 돌아오신 걸 축하드립니다!",25.0,3개월 전
2,yuseyu11,"6년전 에바님 대학생의 하루 첫번째편으로 구독 시작하고 정말 영상 1개도 빼놓지 않고 다 봤던 구독자로써, 이번 영상이 제일 에바님의 인간적인 모습이 많이 보였던 영상인 것 같아요. 그동안 올라왔던 서울에서의 브이로그에서는 만나는 사람도 한정적(가족분들, 유튜버분들, 동창친구분들 ..) 이었어서 매번 재밌지만 비슷하다는 (물론 인간이 살아가는게 다 비슷하긴 하지만,, 절대 싫다는거 아님니다) 느낌을 많이 받았었는데, 확실히 미국에서는 다양한 사람들과 생활을 하면서 친구들한테 장난치는 모습들, 꾸밈없이 영상에 찍히고 찍는 모습들이 더 인상깊게 보이는 것 같아요. 에바님이 가식 없고, 척을 잘 못하는 사람인 것 같다는 짐작은 있었지만 생각보다도 더 털털하고 인간미 넘치는 모습을 보여준 영상인 것 같아요! 
한국 돌아오신지 꽤? 되신 것 같지만, 건강하고 안전하게 돌아오신거 축하드리고, 무엇보다도 잊지못할 추억들 사람들 깊게 남기고 오신 것도 너무너무 축하드려요 
한국에서는 1일 50탕후루 하는 삶 보내시길 바랍니돠 ,, ~🩷",15.0,3개월 전
3,Danidanidan10,"마지막 일기를 통해서 교환학생의 따뜻함과 힘들었던 점이 모두 다 보여지는 느낌이었어요 늘 대리만족 하지만 이번이 특히나 더 ,, 마음을 울리고 갑니다 🥹 좋은 경험이 되었길 바라며 !",2.0,3개월 전
4,userot2xm6mc5i,"에바님 영어 하실때도 사투리 억양 있는거 완전 귀욤포인트,,,",120.0,3개월 전
5,userib1qn2kn1c,영상 끝까지 보고 나까지 찡해지는 .... ㅠㅠ 언니 너무 행복하고 소중한 추억을 공유해줘서 고마워요️,1.0,3개월 전
6,lollifexs5fe,"와 너무 도움되는 좋은 영상입니다. 저는 곧 미국으로 교환학생을 가야되는 상황이라 영어가 부족해서 급하게 이것저것 알아보다가 
학원보다는 실전에서 써먹을 수 있는 연습이 필요할 것 같다보니 언어교환101 회화스터디 등록해서 주3회씩 다니고 있는데
확실히 외국인들이랑 실전에서 대화도 해보고 하니까 처음에는 어렵고 두려웠는데 환경이 이렇게 만들어지니 점점 늘어가는게 느껴지네요! 빨리 늘려서 영어 더 유창해지고 싶어요!",1.0,4주 전
7,itissotastyyum,"마지막 부분 너무 감동... 내가 교환학생 다녀온 것도 아닌데 왜 울컥하냐며,,, 덕분에 대리만족 너무너무 잘하고 가요 ",13.0,3개월 전
8,userjs6qb5ig6u,"에바언니가 한국에 들어올때 왜 눈물이 났는지 이 영상을 보고 알것같네요  꿈같고 행복했던 날들에 저도 살짝 눈물이 났네요,, 더 꿈같고 행복한 일들이 언니에게 찾아오길바라며 항상 응원하고 사랑합니다  건강하게 잘 한국 돌아와줘서 고마워요 ",1.0,3개월 전(수정됨)
9,zaggum,진.짜.너.무.재.밌.어.요. 에바님 대학 영상들 보다보면 휴학 한 번없이 바로 졸업한 게 조금 아쉬워지더라구요 ㅠㅠ 대리만족 쪼아용,11.0,3개월 전
10,uservl1yl9bo4m,"언니 교환학생 다녀와서 교환학생 추천하는지 안하는지에 대한 내용의 영상있었으면 좋겠어요! 장점과 단점 등등
그리고 교환학생이후 어학실력이 많이 늘게 되는지도 궁금합니다.!저도 교환학생 고민중이여서요 항상 영상 잘 보고있습니다.!!",9.0,3개월 전
11,Bominimini,한시간 넘다니 넘 행벅 전 이제 졸업인데 언니보면서 왜 대학생때 교환학생을 안해봤을까 너무 후회가 되네용 ㅜㅠ 대학생으로 누릴 수 았는 혜택은 다 해봤어야 헸는데 ㅡㅜ 그래도 대리 만족하고 갑나당,3.0,3개월 전
12,userem7xc8kr8v,"마음이 따뜻해지는 영상,, 다들 너무 귀여워욥",0.0,2개월 전
13,oliviaph2qn,eva unnie your english is so impressive! love the cute accent you have  thank you for uploading a long video hehe,2.0,3개월 전
14,joydo1qx,"저 미국으로 교환학생 운좋게 되서 이게 곧 가야되거든요! 완전 떨리네요 어학점수만 높지 막상 실전회화경험이 없다보니 너무 많이 걱정이 되서
단기간에 빨리 늘릴 수 있는 방법 생각하다가 외국인들이랑 많이 만나고 친구 사귀는 방법이 가장 좋은 것 같아서
저번달부터 언어교환101 다니면서 실전경험 쌓고 있는데 아직은 어렵지만 확실히 영어회화위주라 분위기가 영어를 해야되서 외국인 공포증 깨고 말하기와 듣기 위주로 연습 빡세게 하는중이네요!!",1.0,3개월 전
15,userni9vd5sh6g,저도 유학을 준비하는데 교환학생은 아니지만 그래도 언니가 타 국에서 지내는 모습보고 걱정하던게 없어졌어요 ㅠㅠ,4.0,3개월 전
16,leem82,마지막 언니 일기 내용이 인상적이네요. 이번 영상도 재밌게 잘 봤습니다,4.0,3개월 전
17,mins4397,"에바님의 손목에 감사하며 
영상의 축복이 끊이질 않네 ",34.0,3개월 전
18,usergi9se8fc8d,제 밥친구로 등극  항상 갓생 사시는 에바님 존경해요오••,6.0,3개월 전
19,userfy3jw7pc7i,따뜻하고 열심히 살고싶어지는 영상...,0.0,2개월 전
20,userdw6pw7oo4s,언니ㅠㅜㅜ1시간 25분영상이라뇨 감사해요 조금씩 아껴서  봐야겠어요ㅎㅎ,4.0,3개월 전
21,Iovej,영화 한 편 보단 에바님 영상이 더 즐거워..🩵,8.0,3개월 전
22,mikaixx96,1 hour and 25 mins 🫶 hope we get eng subs soon hehe ,1.0,3개월 전
23,Userbbang,영상 올려줘서 항상 너무 고마워요 ,6.0,3개월 전
24,jymoon2696,퇴근 후 에바님 영상이라니..🩷 오늘도 와주셔서 감사합니다 :>,4.0,3개월 전
25,Talkingpotatohh,후우 1시간?.. 너무 행복하다..,54.0,3개월 전
26,userki9xc1ut4p,영상 끝날 때 일기에 쓰신 말들 다 너무 좋아요... 그리고 같이 나오는 노래가 뭔지 궁금합니다!,2.0,3개월 전
27,nana120,크흐 영상길이 실화에요? 항상 먹을 때 눈에 영혼이 없는데 입은 부지런히 움직이시는ㅋㅋㅋㅋ,2.0,3개월 전(수정됨)
28,userni9vd5sh6g,한국어도 미국식 귀엽다 ,4.0,3개월 전
29,gam55,좋은 에너지 받고 가요,2.0,3개월 전
30,dalkhanshouse,"마지막 아웃트로까지 완벽한 영화,, 대리만족 오져따요🫣🫢",0.0,3개월 전
31,userhyeon12,"이렇게 긴 영상? 오히려 좋아 감사히 아껴서 잘 보겠습니다 앞으로도 긴영상 부탁해요 ^,^",4.0,3개월 전
32,userkv8cs7ie9s,1시간 반 달달하다... 고마워요 웅니,4.0,3개월 전
33,userrx5os4eg7x,1시간 25분이라니... 너무행복️,6.0,3개월 전
34,usertz2ld6vp8h,언니 압박스타킹은 아침에 일어나서 신고 자기전에 벗는게 좋아용 잘때 착용하면 건강에 안좋아요!!,4.0,3개월 전
35,userxv3ue2eu1s,"에바 당신 이러면 내가 너무 사랑해🩷️
영화분량 미쳤다...🫶",1.0,3개월 전
36,usermf9jt4rk4c,1시간 개이득,0.0,3개월 전
37,iis94,헐….간만에 1시간…,1.0,3개월 전
38,sxowye,cant wait for the subtitles 🫶,0.0,3개월 전
39,useryn4il1eu9e,사랑해 언니 ,0.0,3개월 전
40,YUJ1N,종강 후 에바님의 1시간 영상..? 진짜 극락이다.......,0.0,3개월 전
41,cho826680,"하 ... 마지막 일기 자막 보는데 소름이 돋고 울컥하네요 ,,, 뭐야 내가 유학ㅎ갔다왔나,,,? 내가 저 친구들이랑 정 들고 ,,,, 혼자 영상 보면서 ㅇ영어 찌끄리고 있는 나 자신 발견 ,ㅋ,,,,,,,, 에바,,, 당신의 경험이 , 당신의 용기가, 당신의 열정이 이토록 많은 사람들에게 엄청난 영향을 준다.... 당신 죽도록 사랑해..... 후우,,, 유학 잘 다녀왔다 ~ ^^ !!!! ㅎ헤헿",0.0,3개월 전
42,usermc3yn7wc6l,1시간 넘 조차나,0.0,3개월 전
43,useryf2zi1vu4b,멋지십니다,1.0,3개월 전
44,erudite2921,"웃겼던 클립 모음도 있었으면 좋겠다
(작은실수같은거..)",3.0,3개월 전
45,userbh3gy6ph4u,내일 본가 가는데 기차에서 볼 게 생겼어 너무 좋아!!!!,2.0,3개월 전
46,luminiuu11,너무재밋다... ️️,2.0,3개월 전
47,useruz6fe7ri7e,언니 행복해보여서 저도 너무 행복해요 울 에바 언니 사랑해,0.0,3개월 전
48,SONto4ip,에바EVA님 먹는모습이 아주예쁘군만요.,2.0,3개월 전
49,abcefu8695,1시간 25분 영상???!! 엉니 사랑해 일본 비행기에서 또 봐야지 히ㅣ히,0.0,3개월 전
50,namiraayumiz,에바플릭스 돌아왔다!! 보고싶었어요 🩷,0.0,3개월 전
51,userhr5cy4pw6g,최고..,0.0,2개월 전
52,uservw3hg8oh8n,1시간 25분...하 ㉠ㅐ.좋.아. ,1.0,3개월 전
53,jjieun2277,1시간🫶 사랑해요 언니,1.0,3개월 전
54,sojungpark6236,1:01:57 에바님 5월 2일 영상에 헬스장에서 근력운동하실 때 뭐 참고해서 하시는지 여쭤봐도 될까요?,0.0,3개월 전
55,userjn9se7mw3i,"드뎌 기다리고 기다리던,,🥹",2.0,3개월 전
56,userlr4sw5uw5s,아껴 아껴봐서 결국 엔딩을 봐버렸어요 에바릠ㅠㅜ.... 전 괜찮아요 다시 보면 되거든요 🩷,2.0,3개월 전
57,userbj8qc9te1v,에바님 브이로그를 잘 볼게요,0.0,3개월 전
58,yjwwwwww5436,에바님 4월 15일에 착용하신 볼레로 세트 제품 정보 궁금해요오오 존예 // ..,2.0,3개월 전
59,yellovvvvave,대ㅐㅐㅐ박이다 영화 한 편 만드셨네요 한 5년동안 이것만 보겠어요,4.0,3개월 전
60,estherc8008,에바님 생일날 2/22에 입으신 흰 탑 정보 궁금해요!,0.0,3개월 전
61,nanakg5fu6nr3o,언니 나 1시간 반만 미국 좀 다녀올게 ️,6.0,3개월 전
62,jduboo,일단 반만 보고..나머지도 곧,1.0,3개월 전
63,userwv2sd1rc7c,0:55 이날 왤케 이뿌죠 진짜,0.0,3개월 전
64,DTfm9bp,미쳤댜!!! 너뮤 오랜만이에요 에바님!,0.0,3개월 전
65,hhpeach,쉣 개조아ㅠ 당신 죽을때까지 유튜브마을에 가두겠어 .,3.0,3개월 전(수정됨)
66,userwb6hw9um4l,혹시 배달앱은 어떤 거 쓰셨나용?!!?,0.0,2개월 전
67,Flalxlemdpeltus,하 오늘 영화 한 편 보겟네,0.0,3개월 전
68,71305,최고.. 🩵,0.0,3개월 전
69,yahohoya98,28:55 너무 예뻐서 캡쳐했읍니다…,0.0,3개월 전
70,jyeongt5142,재밌겠드아아앙️,1.0,3개월 전
71,mins2,너무 예쁜 영상이다🥹️,0.0,2개월 전
72,useroo3xm6pk9r,언니! 혹시 나이키 신발은 어디서 구매한 건가요..??,0.0,2개월 전
73,serenesurin,편집하느라 고생하셨겠네여 그래서 다음에 어디 간다구요?,1.0,3개월 전
74,leesr846,"모에요,, 나 영상 1시간인거 보고 너무 좋았자나요🥹 아 행복해🩷",1.0,3개월 전
75,22arete21,"엉니,,,, 나종강선물 미리 받앗어... ",1.0,3개월 전
76,userxq4gb7gj2o,모셔라..밥친구 오셨다..,3.0,3개월 전
77,coraline3690,can I ~ 뒤에 please를 붙이셔야 해요!! ~할 수 있을까요? 하는 표현이지만 please를 붙이지 않는 이상 미국 사람들은 무례하다고 보더라구요ㅠ!!,2.0,2개월 전
78,PersimmonStrawberry,애껴봐야지,0.0,3개월 전
79,22arete21,선댓글후감상>_<,0.0,3개월 전
80,kjane6202,선좋아요 후관람,0.0,3개월 전
81,akinuakinu2087,,0.0,3개월 전
82,usergj2et6mq1q,언니 프링글스 한 통 다 먹을 수 있어 ?,1.0,3개월 전
83,usercw9hi6ge8u,에바님 압박스타킹은 어디꺼 쓰시나요???,0.0,3개월 전
84,priyankaraj8666,English subtitles plzzz,2.0,3개월 전
85,usermj6mo4zf8u,마지막 노래 알고 싶어요!,2.0,3개월 전
86,useroq2ii9lt3x,에바언닝 1빠에요~,0.0,3개월 전
87,kitty0v0,32:24,0.0,3개월 전
