,youtube_id,comment,like_num,comment_date
0,DoubleSoup," Time Table 

01:12 캐리어 소개
01:42 일본 갈 때 필수품!
02:43 일본 가면 로손 편의점에서 이거 사오세요
03:22 일본 갈 때 이건 꼭 알아야함 (고데기)
04:26 여행 스킨케어 파우치 소개
05:49 찐추천 클렌징 제품!
08:30 일본 화장품 딱 3개만 추천할게요! 안보면 손해 ㅠㅠ
10:50 요즘 일본에서 핫한 향수 추천
11:45 도쿄 쇼핑 핫스팟 3군데! 안보면 손해임 ㅠㅠ
12:43 기내용 가방 소개합니다 (요즘 최애 가방)
13:54 ️꼭보세요!️ PCR 관련 서류 & 어플 안내
14:24 저렴하고 결과 빠른 PCR검사소 추천!!!!
15:09 일본 여행 유심 VS 포켓 와이파이
15:45 일본 추천 앱!!!
16:04 일본 택시 이용 꿀팁!!!!!!!!!!!",89.0,11개월 전
1,sgrzm46,"언니가 일본여행의 프로페셔널한 것처럼 이야기해서 기분이 좋아졌어요 빨리 코로나가 진정되고 언니가 언제든지 부담없이 일본에 올 수 있었으면 좋겠어요 実は 사실 지금 저는 영국에 유학 중이에요.언니와 물리적으로는 거리가 멀었지만, 이렇게 동영상 투고를 재개해 준 덕분에 기분이 가깝게 느껴집니다!오늘도 수고하셨습니다 감사합니다",15.0,11개월 전
2,userif2zs1su7q,언니가 일본으로 여행을 가다니 ㅠㅠㅠㅠ 언니 일본 여행 브이로그 몇 번이나 재탕한 사람으로서 브이로그 너무 기대돼요..!!! 인스타에 올라올 사진도 너무 기대되구요. 또 일본 여행을 일본 감성 뿜뿜 로즈하 언니랑 가다니…ㅠㅠㅠ 진짜 너무 잘 어울린다….. 언니 저도 일본 여행 너무 가고 싶은 사람이라 오늘 영상이 너무 유익하네요:) 넘 행복해!,10.0,11개월 전
3,kangjamie6059,좋은 꿀팁들 넘 감사해요>< 캐리어 짐 싸면서 좋은 템들도 소개해줘서 너무 좋았어요! 게다가 고데기는 생각도 못했는데 저도 이왕이면 가서 살려구요ㅋㅋㅋ~ 오늘 좋은 정보도 많이 알고 영상 재밌게 봤어요ㅎㅎ,5.0,11개월 전
4,ludwigvanbeethoven5401,"사실 저번주 영상 보고 나서는 이거 꿈인가? 진짠가? 이러면서 믿기지 않았는데
오늘 또 이렇게 토욜 밤 9시에 습습님 영상이 똭 올라오니까 아 현실 맞구나ㅜㅜㅜ하면서 너무 행복하게 습습님만 보다 보니 16분이 그냥 순삭됐어요!! 다시 봐야지ㅎㅎ..
일본에서 10년 살다 온 사람급으로 자세한 정보들이 습습 쏟아지니 너무 좋아요~~
다음에 일본 여행 갈 때 무조건 봐야겠어요!!
오늘도 넘 예쁜 습습님 안전하고 즐겁게 다녀오세용~~:)
+ 잡동사니 칸 여니까 책이 쌓여있는..^^ 넘 웃겨써욬ㅋㅋㅋㅋ",8.0,11개월 전
5,usertf4rm7un9u,"이번에 일본 갈려고 준비 중이었는데 딱 필요한 영상이었어요 ㅎㅎ!!!
인스타로 포토 스팟 알려준 것도 유용했는데 
pcr검사나 쇼핑 등 유용한 꿀팁이 진짜 많네용~~
감사해여",6.0,11개월 전
6,xhahwid,"언니가 일본을 좋아해주고 일본 화장품도 좋아해주셔서 일본인으로써 뿌듯하네요ㅠㅠ 이렇게 일본여행에 대해서 소개해주셔서 고마워요!!!!
only mineral 제품은 일본인인데 몰랐어요 ㅎㅎ 한번 테스트하러 가야겠어요!!",11.0,11개월 전(수정됨)
7,heidilee9001,"예전에 습습님 유럽갔던 영상 최애여서 그거 진짜 여러번 봤었는데! ㅋㅋㅋ 이번에도 예쁜
착장 꿀팁 많이 보여주세용",0.0,10개월 전
8,userju8bd2cr3q,"습습님 너무 유익한 영상인 것 같아요! 영상에서 미모도 미쳤고 영상 내용도 미쳤고 너무 좋아요ㅠㅠㅠㅠ 일본 여행 브이로그, 하울 영상도 기대하고 있을게요! 사랑합니다!",3.0,11개월 전
9,eudneuc3582,일본 자유여행은 처음이라 걱정이 많았었는데 습습님 덕분에 친구랑 잘 다녀올 수 있을 거 같아요!! 좋은 영상 만들어주셔서 정말 감사합니다,1.0,8개월 전
10,userhk2hj4rs4m,スプちゃんがこうやって動画を通して、日本の特徴などを韓国語で話しているのを見るとすごく嬉しいですこの動画を見て日本に旅行に来てくれる韓国の方々が増えたら良いな〜,46.0,11개월 전(수정됨)
