,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,대부분이 침묵할수밖에 없는 패션,https://www.youtube.com/watch?v=MzON9U7orjY,9095,2023-08-30,0:09:36,170
3,서울에서 살아가기 [브라운프론트도어],https://www.youtube.com/watch?v=nIsawnWpps4,5491,2023-08-23,0:17:11,136
4,에센스룸 제작자 꼴냐보 데이트 [진지함주의],https://www.youtube.com/watch?v=jXHVauo8YhQ,14909,2023-08-09,1:25:52,346
5,옷가게에서 자고 팝업에서 배채우는 ㄱㅓㅈㅣ[틸레이트/박영감/더블러버스/정용훈],https://www.youtube.com/watch?v=jBYclU5ZnnA,7055,2023-07-31,0:12:39,136
6,LVC의 새로운 시도 with [카멜커피],https://www.youtube.com/watch?v=qhlO2WS-VqI,21346,2023-07-26,0:16:19,398
7,이 옷이 예쁜지 아닌지 판단하기 쉽지않지 [의류제작2부],https://www.youtube.com/watch?v=qY9TG2mVTLI,6475,2023-07-22,0:32:37,114
8,올 여름과 어울리지않는 쇼핑리스트 [캐피탈/데님티어스/비즈빔],https://www.youtube.com/watch?v=BmIPAJ4f10A,8104,2023-07-12,0:09:50,125
9,유튜버가 운영하는 신발브랜드에 제가 만든 티셔츠를 꼽사리 낀..[몬스터쏭],https://www.youtube.com/watch?v=qO0wHF_ZzbA,6141,2023-07-06,0:07:20,88
10,찌르고 막다가 결국 발가벗겨진 하루 [장석종/올드타운타투],https://www.youtube.com/watch?v=qF4q3Sm5IvM,6308,2023-06-21,1:35:31,129
11,둘중에 누가 옷을 잘 입는다고? [미스터카멜/차브로/superko/cnp노승훈],https://www.youtube.com/watch?v=-SPhAvGNLbI,27780,2023-06-09,0:30:20,493
12,5월에 구매한 쇼핑리스트,https://www.youtube.com/watch?v=DvuEjEJzzXI,14839,2023-05-22,0:09:31,224
13,드디어 일본 도깨비 여행?,https://www.youtube.com/watch?v=87KiNPiHVYI,4053,2023-05-21,0:06:29,77
14,릭오웬스는 이 일을 결코 잊지않을것입니다,https://www.youtube.com/watch?v=OZKim9rdxOA,13721,2023-05-13,0:15:37,216
15,니가 좋아하는걸 믿어 [의류제작1부],https://www.youtube.com/watch?v=Ewuncp9YoCk,9173,2023-05-03,0:28:47,236
16,4월은 가장 잔인하게 쇼핑해야제,https://www.youtube.com/watch?v=5jPB6tjO38s,11930,2023-04-20,0:11:43,192
17,빈티지가 주는 교훈,https://www.youtube.com/watch?v=IzAtD6pQ8Yg,12473,2023-04-12,0:11:14,233
18,강남에서 1억짜리 경험 공짜로 하기,https://www.youtube.com/watch?v=L42gY4TG3W0,11430,2023-03-28,0:14:56,190
19,고인물이 요즘 신상 다 격파하고 왔음 [8division],https://www.youtube.com/watch?v=qXNbAlhLn3A,15823,2023-03-21,0:11:54,253
20,3월 트렌드는 모르겠고 난 변함없이 입을라요,https://www.youtube.com/watch?v=Ug9upfqX1Gg,9442,2023-03-12,0:08:01,151
21,가죽자켓은 좋은거 하나 사서 십년을,https://www.youtube.com/watch?v=sPMiCXo3_kk,23046,2023-03-06,0:08:56,308
22,퍽fxxk한 삶 속에서도 지꺼 잘하는 사람들,https://www.youtube.com/watch?v=ynsSaUfMF6w,10597,2023-02-26,0:14:37,241
23,국내 1티어 패..팬티유튜버의 쇼핑리스트 [빈티지보다는현행],https://www.youtube.com/watch?v=o3uw8GnFswI,7059,2023-02-22,0:08:23,147
24,그 문을 열어두세요 [팬과 안티가 공존하도록],https://www.youtube.com/watch?v=JAIAAQgNp4g,6249,2023-02-13,0:15:36,151
25,신발하면 당연히 이태리 이태리하면 타올,https://www.youtube.com/watch?v=53uM87uz9Eo,6787,2023-02-05,0:07:14,92
26,"올해에도 사는거야 [ lvc, 크롬심장, 세인트마이클, 메이드원 ]",https://www.youtube.com/watch?v=GWCKiLVWOZ4,11324,2023-01-24,0:08:24,206
27,왜 청바지는 정답이 없고 자기것을 만들어가야 되는가?,https://www.youtube.com/watch?v=qWyd4Ka40Gc,29540,2023-01-15,2:27:54,517
28,마침내 심판의 날 [사요나라 여러분],https://www.youtube.com/watch?v=CJVidpF_f54,5795,2023-01-01,0:12:26,124
29,느슨해진 서울 패션에 관장약이 되어줄 쑈쑈쑈 [매진임박],https://www.youtube.com/watch?v=QwPn-E-Trt8,6807,2022-12-12,0:06:28,136
30,"이게 20대 패션스타일? [와이프로젝트,마틴로즈,아워레가시,etc]",https://www.youtube.com/watch?v=R-WSnLYyHzs,14622,2022-12-05,0:14:52,223
31,모두 더럽고 똑같은 세상은 싫어,https://www.youtube.com/watch?v=CnZgZm083Hg,5034,2022-11-27,0:07:20,131
32,헤어질 결시미야,https://www.youtube.com/watch?v=b8K3w2AtvK8,7445,2022-11-20,0:08:09,152
33,비싼 옷이 후회되는 순간들,https://www.youtube.com/watch?v=mW3f1sXma4M,7566,2022-11-14,0:06:06,108
34,30대 40대가 입기좋은 겨울 아우터 모음 [아티지],https://www.youtube.com/watch?v=SLS2gelwq3Q,11387,2022-11-09,0:15:02,155
35,한국 라이센스 브랜드의 숙제랄까?,https://www.youtube.com/watch?v=E-1TExJd7AE,14756,2022-11-03,0:17:06,279
36,내 추억속 우상들한테 탈탈 털렸네,https://www.youtube.com/watch?v=udUBuNYtSOY,8268,2022-10-23,0:11:53,164
37,슈프림이 한국에 들어오면,https://www.youtube.com/watch?v=5qhMfWn4F1k,12016,2022-10-22,0:08:45,230
38,으른들의 5가지 워크웨어 스타일 [Artage],https://www.youtube.com/watch?v=oKd_eY1cpeY,17311,2022-10-16,0:15:02,261
39,추워지닌까 슬슬 잠바 걸쳐야지,https://www.youtube.com/watch?v=wCJPfVoBGZ8,12599,2022-10-10,0:08:26,250
40,데님은 포르노다 [노빠꾸 아재들과 토크쇼쇼쇼],https://www.youtube.com/watch?v=7IBOVHGtu0c,13388,2022-09-29,0:46:28,266
41,성공과 실패는 한끗 차이 [비즈빔 안녕],https://www.youtube.com/watch?v=w7DEOPphj1M,17999,2022-09-18,0:08:49,282
42,5일5서타일 일주일간의 가을패션,https://www.youtube.com/watch?v=8D2bxMzb-Cs,11785,2022-09-11,0:09:09,263
43,내려놓고 나니 아무것도 아니더라,https://www.youtube.com/watch?v=DF2rXdwRpnE,10029,2022-09-04,0:07:59,209
44,쉰도시 아재는 어떻게 쉬는가?,https://www.youtube.com/watch?v=ZjN09ImXv2I,5354,2022-08-28,0:08:20,131
45,디자이너가 말해주는 비즈빔 [22fw],https://www.youtube.com/watch?v=sDcqTWq-sno,26873,2022-08-22,0:55:07,384
46,기묘한 쇼핑센터에서의 1박2일,https://www.youtube.com/watch?v=T0zqmMi3-xs,9285,2022-08-16,0:25:47,212
47,왜 멋있어 보이는거야?,https://www.youtube.com/watch?v=u6srNZyJ4GE,6734,2022-08-13,0:07:19,143
